[17/Jul/2022 04:26:45] INFO [django.utils.autoreload:643] Watching for file changes with StatReloader
[17/Jul/2022 04:26:45] DEBUG [django.utils.autoreload:321] Waiting for apps ready_event.
[17/Jul/2022 04:26:45] DEBUG [django.utils.autoreload:333] Apps ready_event triggered. Sending autoreload_started signal.
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:287] Watching dir /app/base/templates with glob **/*.
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:287] Watching dir /app/locale with glob **/*.mo.
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:287] Watching dir /app/base/locale with glob **/*.mo.
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/cmd.py first seen with mtime 1657629597.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/mime/__init__.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/_struct.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629579.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/importlib/machinery.py first seen with mtime 1657629598.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/_bisect.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629578.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/_uuid.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629587.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/models/functions/__init__.py first seen with mtime 1658031709.9522395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/db/migrations/graph.py first seen with mtime 1658031709.9372396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/lib-dynload/_ctypes.cpython-38-x86_64-linux-gnu.so first seen with mtime 1657629589.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/__init__.py first seen with mtime 1658031709.1162395
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/backports/zoneinfo/_version.py first seen with mtime 1658031708.8712397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/unittest/loader.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/contrib/admin/helpers.py first seen with mtime 1658031709.1182396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/xml/dom/NodeFilter.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/core/serializers/base.py first seen with mtime 1658031709.9182396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/utils/text.py first seen with mtime 1658031710.0042396
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/email/mime/message.py first seen with mtime 1657629599.0
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/site-packages/django/utils/connection.py first seen with mtime 1658031709.9962397
[17/Jul/2022 04:26:46] DEBUG [django.utils.autoreload:385] File /usr/local/lib/python3.8/enum.py first seen with mtime 1657629597.0
